Renda familiar - per capita - média
Sigla;Código;Município;1970;1980;1991;
AC;1200013;Acrelândia;;;;
AC;1200054;Assis Brasil;;0,45;0,62;
AC;1200104;Brasiléia;0,41;0,58;0,61;
AC;1200138;Bujari;;;;
AC;1200179;Capixaba;;;;
AC;1200203;Cruzeiro do Sul;0,28;0,51;0,51;
AC;1200252;Epitaciolândia;;;;
AC;1200302;Feijó;0,31;0,39;0,44;
AC;1200328;Jordão;;;;
AC;1200336;Mâncio Lima;;0,37;0,32;
AC;1200344;Manoel Urbano;;0,46;0,36;
AC;1200351;Marechal Thaumaturgo;;;;
AC;1200385;Plácido de Castro;;0,88;0,47;
AC;1200393;Porto Walter;;;;
AC;1200401;Rio Branco;0,59;1,22;1,24;
AC;1200427;Rodrigues Alves;;;;
AC;1200435;Santa Rosa do Purus;;;;
AC;1200450;Senador Guiomard;;0,73;0,68;
AC;1200500;Sena Madureira;0,31;0,74;0,5;
AC;1200609;Tarauacá;0,25;0,43;0,38;
AC;1200708;Xapuri;0,34;0,6;0,55;
AC;1200807;Porto Acre;;;;
AL;2700102;Água Branca;0,15;0,27;0,24;
AL;2700201;Anadia;0,15;0,39;0,35;
AL;2700300;Arapiraca;0,28;0,64;0,65;
AL;2700409;Atalaia;0,31;0,53;0,34;
AL;2700508;Barra de Santo Antônio;0,29;0,52;0,27;
AL;2700607;Barra de São Miguel;0,25;0,4;0,44;
AL;2700706;Batalha;0,29;0,63;0,44;
AL;2700805;Belém;0,22;0,26;0,37;
AL;2700904;Belo Monte;0,13;0,37;0,25;
AL;2701001;Boca da Mata;0,27;0,53;0,38;
AL;2701100;Branquinha;0,3;0,41;0,23;
AL;2701209;Cacimbinhas;0,14;0,38;0,36;
AL;2701308;Cajueiro;0,32;0,45;0,33;
AL;2701357;Campestre;;;;
AL;2701407;Campo Alegre;0,18;0,58;0,42;
AL;2701506;Campo Grande;0,17;0,25;0,26;
AL;2701605;Canapi;0,13;0,25;0,29;
AL;2701704;Capela;0,26;0,46;0,31;
AL;2701803;Carneiros;0,11;0,21;0,29;
AL;2701902;Chã Preta;0,11;0,44;0,29;
AL;2702009;Coité do Nóia;0,18;0,3;0,31;
AL;2702108;Colônia Leopoldina;0,26;0,4;0,28;
AL;2702207;Coqueiro Seco;0,24;0,47;0,56;
AL;2702306;Coruripe;0,25;0,52;0,45;
AL;2702355;Craíbas;;;0,29;
AL;2702405;Delmiro Gouveia;0,35;0,59;0,42;
AL;2702504;Dois Riachos;0,1;0,35;0,29;
AL;2702553;Estrela de Alagoas;;;;
AL;2702603;Feira Grande;0,16;0,41;0,28;
AL;2702702;Feliz Deserto;0,21;0,36;0,34;
AL;2702801;Flexeiras;0,32;0,49;0,29;
AL;2702900;Girau do Ponciano;0,15;0,31;0,31;
AL;2703007;Ibateguara;0,19;0,38;0,28;
AL;2703106;Igaci;0,17;0,3;0,27;
AL;2703205;Igreja Nova;0,11;0,25;0,27;
AL;2703304;Inhapi;0,1;0,31;0,23;
AL;2703403;Jacaré dos Homens;0,25;0,53;0,37;
AL;2703502;Jacuípe;0,29;0,46;0,35;
AL;2703601;Japaratinga;0,2;0,42;0,36;
AL;2703700;Jaramataia;0,18;0,29;0,25;
AL;2703759;Jequiá da Praia;;;;
AL;2703809;Joaquim Gomes;0,25;0,49;0,29;
AL;2703908;Jundiá;0,25;0,47;0,37;
AL;2704005;Junqueiro;0,2;0,41;0,34;
AL;2704104;Lagoa da Canoa;0,17;0,35;0,3;
AL;2704203;Limoeiro de Anadia;0,17;0,31;0,28;
AL;2704302;Maceió;0,68;1,27;1,32;
AL;2704401;Major Isidoro;0,18;0,35;0,36;
AL;2704500;Maragogi;0,31;0,38;0,32;
AL;2704609;Maravilha;0,14;0,38;0,25;
AL;2704708;Marechal Deodoro;0,25;0,44;0,41;
AL;2704807;Maribondo;0,2;0,47;0,44;
AL;2704906;Mar Vermelho;0,17;0,22;0,29;
AL;2705002;Mata Grande;0,13;0,36;0,25;
AL;2705101;Matriz de Camaragibe;0,33;0,46;0,3;
AL;2705200;Messias;0,33;0,5;0,45;
AL;2705309;Minador do Negrão;0,22;0,39;0,31;
AL;2705408;Monteirópolis;0,2;0,22;0,24;
AL;2705507;Murici;0,3;0,49;0,34;
AL;2705606;Novo Lino;0,26;0,49;0,5;
AL;2705705;Olho d'Água das Flores;0,27;0,33;0,43;
AL;2705804;Olho d'Água do Casado;0,17;0,36;0,41;
AL;2705903;Olho d'Água Grande;0,11;0,3;0,23;
AL;2706000;Olivença;0,15;0,26;0,21;
AL;2706109;Ouro Branco;0,12;0,23;0,24;
AL;2706208;Palestina;0,16;0,26;0,27;
AL;2706307;Palmeira dos Índios;0,3;0,51;0,5;
AL;2706406;Pão de Açúcar;0,2;0,37;0,44;
AL;2706422;Pariconha;;;;
AL;2706448;Paripueira;;;;
AL;2706505;Passo de Camaragibe;0,16;0,43;0,3;
AL;2706604;Paulo Jacinto;0,18;0,37;0,24;
AL;2706703;Penedo;0,3;0,62;0,58;
AL;2706802;Piaçabuçu;0,22;0,46;0,45;
AL;2706901;Pilar;0,31;0,61;0,45;
AL;2707008;Pindoba;0,14;0,33;0,38;
AL;2707107;Piranhas;0,18;0,33;0,74;
AL;2707206;Poço das Trincheiras;0,12;0,17;0,2;
AL;2707305;Porto Calvo;0,28;0,52;0,44;
AL;2707404;Porto de Pedras;0,23;0,33;0,26;
